I;Perséphone;Pylaia,Thèbes,Volos,Ermoúpoli,Delphes,Alexandroúpoli,Nikaia,Saloniki,Larissa,Le Pirée
II;Morphée;Kateríni,Kalamaria,Trikala,Saloniki,Drama,Sparte,Agrinion,Drama,Corfou
III;Océanos;Drama,Komotiní,Kamatero,Lamía,Karditsa,Le Pirée,Nea Ionia,Nauplie,Nauplie,Ioannina,Ioannina,Karditsa,Lamía,Kateríni,Corinthe
IV;Hadès;Nea Smyrni,Kalamata,Psychico,Nea Ionia,Monemvasia
V;Charon;Ano Liossia,Kefalonia,Delphes,Larissa,Larissa,Saloniki,Héraklion
VI;Hermès;Trikala,Psychico,Ano Liossia,Ierapetra,Réthymnon,Výronas,Volos,Výronas,Rhodes,Mykonos,Arta
VII;Maïa;Arta,Iolkos,Filothei,Kastoria,Komotiní,Héraklion,Kalamaria,Corfou,Výronas,Agrinion,Sparte,Alonistena,Kateríni,Corfou,Agrinion
VIII;Tyché;Le Pirée,Thessalonique,Mykonos,Rhodes,Volos,Athènes,Thèbes,Alexandroúpoli,Stravroupoli,Mykonos,Xanthi,Ierapetra,Sparte,Patras,Drama
IX;Maïa;Kefalonia,Kefalonia,Kefalonia,Kozani,Kateríni,Thessalonique,Rhodes,Ermoúpoli,Eyosmos,Corfou
X;Dionysos;Corfou,Souflí,Amfissa,Psychico
XI;Éole;Thèbes,Larissa,Zefyri,Le Pirée,Kalamaria,Héraklion,Le Pirée,Stravroupoli,Kalamaria,Výronas,Souflí
XII;Triton;Stravroupoli,Aegio,Kavala,Aegio,Alonistena,Agios Nikolaos,Corinthe,Olympie,Corinthe,Alexandroúpoli,Alonistena,Delphes,Thessalonique,Alexandroúpoli,Drama,Psychico
XIII;Dionysos;Aegio,Komotiní,Corinthe,Thèbes
XIV;Hadès;Amfissa,Ano Liossia
XV;Déméter;Drama,Le Pirée,Nikaia,Iolkos,Nea Ionia,Nea Smyrni,Le Pirée,Kalamaria,Le Pirée,Iolkos
XVI;Dionysos;Corfou,Ermoúpoli,Kefalonia,Souflí,Arta,Argos,Volos,Lamía,Arta,Keratsini,Kozani
XVII;Rhéa;Stravroupoli,Filothei,Kateríni,Kamatero,Mykonos,Kordelio,Amfissa,Výronas,Ermoúpoli,Kastoria,Psychico,Ermoúpoli
XVIII;Achlys;Le Pirée,Sparte,Volos,La Canée,Réthymnon,Souflí
XIX;Hadès;Ierapetra,Kordelio,Komotiní,Héraklion,Kastoria,Nauplie,Volos,Iolkos
XX;Éros;Xanthi,Larissa,Thessalonique,Kozani
XXI;Hécate;Komotiní,Athènes,Thèbes,Agrinion,Théra,Mykonos
XXII;Athéna;Nikaia,La Canée,Nikaia,Kefalonia,Aegio
XXIII;Atlas;Lamía,Kozani,Kavala,Lamía,Sparte,Lamía,Larissa,Sparte
XXIV;Hélios;Saloniki,Filothei,Corinthe,Xanthi,Rhodes,Kateríni,Le Pirée,Porto Héli,Monemvasia,Výronas
XXV;Perséphone;Rhodes,Alexandroúpoli,Sparte,Réthymnon,Xanthi
XXVI;Éris;Agios Nikolaos,Výronas,Stravroupoli,Ierapetra,Orestiáda,Orestiáda,La Canée
XXVII;Charon;Porto Héli,Amfissa,Thessalonique,Eyosmos,Eyosmos,Agrinion,Patras,Arta
XXVIII;Ouranos;Keratsini,Agios Nikolaos,La Canée,Zefyri,Kastoria,Alexandroúpoli,Zefyri,Trikala,Trikala,Sparte,Psychico,Filothei,Monemvasia
XXIX;Léto;Argos,Kastoria,Kavala,Kavala,Mégara,Corinthe,Sparte,Nea Smyrni,Thessalonique
XXX;Hélios;Porto Héli,Kateríni,Komotiní,Psychico,Kozani,Trikala,Héraklion
XXXI;Asclépios;Olympie,Nea Ionia,Arta,Ermoúpoli
XXXII;Zéphyr;Delphes,Pylaia,Thèbes,Ermoúpoli,Mykonos,Filothei,Rhodes,Alonistena,Agios Nikolaos,Lamía,Xanthi,Porto Héli,Kalamata,Nea Ionia,Amfissa,Nea Ionia
XXXIII;Aphrodite;Monemvasia,Saloniki,Réthymnon,Ierapetra,Nikaia,Psychico,Agios Nikolaos,Ano Liossia
XXXIV;Até;Argos,Arta,Kateríni,Psychico,Pylaia,Mykonos,Sparte,Výronas,Drama,Saloniki,Monemvasia,Xanthi,Kastoria,Nea Smyrni
XXXV;Léto;Ermoúpoli,Kastoria,Patras,Patras,Nea Smyrni,Iolkos,Sparte
XXXVI;Priape;Zefyri,Delphes
XXXVII;Hécate;Delphes,Sparte,Kordelio,Xanthi,Alonistena
XXXVIII;Éos;Sparte,Saloniki,Kozani
